law360_firm_id,law360_firm_name,Lawfirm,LawFirmId,AggregatedDealvalue,DealCount,dupe_MA,qualify_MA,notes_MA,combine_MA
,,Gilbert + Tobin,5639,"$37,422,000,000.00",4,,,,
DEN8962,Dentons,Dentons,5821,"$37,169,863,332.00",38,,,,
KIN6975,King & Spalding,King & Spalding,1464,"$36,101,991,642.00",42,,,,
,,Felesky Flynn,3798,"$36,000,000,000.00",1,,,,
,,A&L Goodbody,3300,"$32,219,000,000.00",4,,,,
KIN8566,,King & Wood Mallesons,7424,"$31,744,281,896.00",6,,,,
,,Fangda Partners,3793,"$31,485,000,000.00",7,,,,
KLG5568,K&L Gates,K&L Gates,2851,"$29,487,822,500.00",44,,,,
MCC5985,,McCarthy Tetrault,2861,"$28,375,380,000.00",15,,,,
TOR9260,,Torys,2547,"$27,006,255,039.00",16,,,,
HER7016,,Herbert Smith Freehills,9136,"$26,524,950,250.00",6,,,,
,,Conyers Dill & Pearman,587,"$26,399,588,925.00",10,,,,
KRA5823,Kramer Levin,Kramer Levin Naftalis & Frankel,2853,"$25,862,350,000.00",12,,,,
PRO6020,Proskauer,Proskauer Rose,2882,"$25,775,773,602.00",24,,,,
HUN4123,Hunton Andrews Kurth,Hunton Andrews Kurth,2796,"$25,585,900,000.00",32,,,,
DEH3364,Dechert,Dechert,696,"$23,086,910,945.00",32,,,,
ASH5568,,Ashurst,5228,"$22,658,183,040.00",5,,0,less than 50 firms in US,
,,MacFarlanes,4994,"$22,452,261,620.00",6,,,,
SCH1598,Schulte Roth,Schulte Roth & Zabel,2887,"$22,392,839,532.00",12,,,,
GUN3166,Gunderson Dettmer,Gunderson Dettmer Stough Villeneuve Franklin & Hachigian,1127,"$22,070,878,220.00",22,,,,
,,Maples Group,9499,"$21,991,968,000.00",15,,,,
VEN9219,Venable,Venable,2906,"$21,979,414,675.00",22,,,,
SQU8792,Squire Patton Boggs,Squire Patton Boggs,9291,"$20,070,877,402.00",35,,,,
OSL3973,,"Osler, Hoskin & Harcourt",2876,"$19,357,314,000.00",21,,,,
MCG4933,McGuireWoods,McGuireWoods,2862,"$18,835,200,000.00",8,,,,
EVE8601,Eversheds Sutherland,Eversheds Sutherland,5195,"$17,990,400,000.00",10,,,,
PER7986,Perkins Coie,Perkins Coie,2023,"$16,744,920,050.00",24,,,,
,,Meitar Liquornik Geva Leshem Tal,5792,"$16,354,500,000.00",21,,,,
CAH7780,Cahill Gordon,Cahill Gordon & Reindel,409,"$16,310,000,000.00",7,,,,
,,De Brauw Blackstone Westbroek,3702,"$15,914,000,000.00",4,,,,
,,Goldfarb Seligman & Co,5521,"$15,777,600,000.00",11,,,,
ORR3556,Orrick,"Orrick, Herrington & Sutcliffe",1956,"$15,570,206,629.00",30,,,,
,,Herzog Fox & Neeman,1211,"$15,473,774,754.00",9,,,,
MUN2899,Munger Tolles,"Munger, Tolles & Olson",2869,"$14,451,812,974.00",3,,,,
,,Moulton Moore Stella,10042,"$14,000,000,000.00",1,,,,
HOL8724,Holland & Knight,Holland & Knight,1239,"$13,187,578,369.00",45,,,,
,,Nob Hill Law Group,8127,"$13,000,000,000.00",1,,,,
,,Goodmans,1069,"$12,253,101,119.00",13,,,,
,,"Bae, Kim & Lee",9513,"$12,041,371,427.00",2,,,,
,,Ogier,5905,"$11,978,400,000.00",6,,,,
,,Azb & Partners,3365,"$11,952,066,000.00",2,,,,
OMM7760,O'Melveny,O'Melveny & Myers,2873,"$11,877,017,566.00",28,,,,
CAD5402,Cadwalader,"Cadwalader, Wickersham & Taft",2807,"$11,818,300,000.00",8,,,,
LOE6696,Loeb & Loeb,Loeb & Loeb,2859,"$11,331,588,264.00",26,,,,
ELL6398,Ellenoff Grossman,Ellenoff Grossman & Schole,816,"$11,311,650,000.00",38,,,,
STE6810,Steptoe & Johnson LLP,Steptoe & Johnson,2899,"$11,150,000,000.00",3,,,,
FAE5613,Faegre Drinker,Faegre Drinker Biddle & Reath,9559,"$10,938,793,100.00",31,,,,
,,S&A Associates,9072,"$10,800,000,000.00",1,,,,
ALS9443,Alston & Bird,Alston & Bird,2795,"$10,285,406,509.00",45,,,,
MCD4329,McDermott,McDermott Will & Emery,1705,"$10,136,927,360.00",23,,,,
BRA9882,Bracewell,Bracewell,6884,"$9,854,032,123.00",16,,,,
MIN4022,Mintz,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo",1788,"$9,676,366,441.00",29,,,,
BLA6224,Blank Rome,Blank Rome,278,"$9,508,243,866.00",23,,,,
,,Han Kun Law Offices,3962,"$9,279,000,000.00",2,,,,
